"DemandID","Demand","SupplyID","Supply","TravelCost","AllFlows","EstFlow","f(d)"
"246",32210,"374",788,61.0813608828554,1,528,0.0002680294967854677
"246",32210,"384",331,122.126629673094,2,111,0.00006704698543805965
"246",32210,"405",278,113.039392744268,2,101,0.0000782600945805853
"246",32210,"406",121,115.377891419041,1,43,0.0000751198659813566
"246",32210,"525",122,31.0554832487518,6,161,0.0010368678695497997
"246",32210,"534",214,129.632526008266,2,68,0.000059507544839088496
"246",32210,"539",235,32.9511665046044,8,292,0.0009209974180085006
"246",32210,"541",83,30.5949916612712,2,111,0.001068314988654324
"246",32210,"543",174,29.1114234489242,21,245,0.0011799758449864532
"246",32210,"544",316,51.4048554235272,1,252,0.00037843536608324834
"246",32210,"550",399,17.5900816067782,233,929,0.003231947454781083
"246",32210,"556",84,36.5952065466026,1,94,0.0007467093588984594
"246",32210,"580",119,80.8060136433723,1,60,0.0001531484603309371
"246",32210,"599",291,61.509880018506,2,194,0.00026430795848801327
"246",32210,"632",142,255.109348780545,1,23,0.000015365519628543715
"246",32210,"638",90,442.918014205218,1,8,0.0000050974539580097
"246",32210,"651",823,202.7676163614,1,166,0.000024322197367601255
"246",32210,"655",459,200.380898053393,1,94,0.000024905046828731424
"246",32210,"658",656,208.904203478812,1,129,0.000022914249760263616
"246",32210,"664",224,208.018078324687,1,44,0.000023109887957979127
"246",32210,"739",1677,226.021506150925,3,304,0.000019574941405792008
"246",32210,"744",472,52.174417340872,3,370,0.00036735400960804696
"246",32210,"780",185,191.263748908646,1,40,0.00002733598150632779
"246",32210,"787",666,227.413390425764,1,120,0.000019336057729667095
"246",32210,"810",878,126.923308834301,2,283,0.0000620750715940529
"246",32210,"842",871,240.657548286507,1,148,0.000017266369239924247
"246",32210,"980",921,82.6252861391618,5,456,0.00014647855498942718
"246",32210,"981",125,108.710389141724,6,47,0.00008461705366656759
"247",35825,"16",1018,79.1811147022736,6,581,0.00015949856393571266
"247",35825,"20",72,60.6927509369717,1,54,0.0002714728202965125
"247",35825,"22",194,29.4402998753375,1,298,0.0011537601675323918
"247",35825,"34",131,61.2262777475931,1,97,0.0002667621969241238
"247",35825,"51",519,50.9239441666011,2,461,0.00038561678847911357
"247",35825,"64",349,194.679693515858,1,81,0.000026385096827101545
"247",35825,"151",340,21.6107846235629,43,711,0.0021412083571315113
"247",35825,"153",50,23.5628331219226,5,96,0.00180112968920847
"247",35825,"160",156,52.0143722691417,4,136,0.0003696181396092115
