"GbCode","CityName","lat","lon","GbProv","UA_Full","UA"
"411100","Luohe",33.5877107071022,114.02342077764726,"41","Central Plains","CP"
"411200","Sanmenxia",34.778327249459984,111.2065332238741,"41","Central Plains","CP"
"411300","Nanyang",32.99656220465144,112.53450131351325,"41","Central Plains","CP"
"411400","Shangqiu",34.4202016658586,115.66244933826238,"41","Central Plains","CP"
"411500","Xinyang",32.15301454753105,114.09748283304512,"41","Central Plains","CP"
"411600","Zhoukou",33.643083575264406,114.7079826661061,"41","Central Plains","CP"
"411700","Zhumadian",33.01784241674367,114.02847078173271,"41","Central Plains","CP"
"419001","Jiyuan",35.072907226846525,112.60858070620743,"41","Central Plains","CP"
"420100","Wuhan",30.598466736400987,114.31158155473231,"42","Middle Reaches of the Yangtze River","MRYR"
"420200","Huangshi",30.205207848941598,115.04553290894361,"42","Middle Reaches of the Yangtze River","MRYR"
"420300","Shiyan",32.63506185840116,110.80452956069568,"42","NA","NA"
"420500","Yichang",30.697446484492378,111.29254921035434,"42","Middle Reaches of the Yangtze River","MRYR"
"420600","Xiangyang",32.014796804669224,112.12853720100244,"42","Middle Reaches of the Yangtze River","MRYR"
"420700","Ezhou",30.39657217331699,114.90160738827099,"42","Middle Reaches of the Yangtze River","MRYR"
"420800","Jingmen",31.041732575569622,112.20639298023002,"42","Middle Reaches of the Yangtze River","MRYR"
"420900","Xiaogan",30.924526261070227,113.96346265773938,"42","Middle Reaches of the Yangtze River","MRYR"
"421000","Jingzhou",30.340842107742912,112.24552262926137,"42","Middle Reaches of the Yangtze River","MRYR"
"421100","Huanggang",30.4593588576181,114.87849048410779,"42","Middle Reaches of the Yangtze River","MRYR"
"421200","Xianning",29.847055947646492,114.32851909026844,"42","Middle Reaches of the Yangtze River","MRYR"
"421300","Suizhou",31.6965167723283,113.38945001822157,"42","NA","NA"
